tweet_id,1_level_reply_id,2_level_reply_id
1389357435442315265,1389361597437681667,1389446074465673216
1392201245633490944,1392215356131921931,1392219802165465097
1392201245633490944,1392215356131921931,1392218690389676032
1392275429570990084,1392442315000750082,1392444546550702084
1392336507499728901,1392495262157860866,1392609954461372417
1392393031572103169,1392396164729737217,1392663175577825283
1392913965760450562,1407194258910584847,1423521396253208577
1392913965760450562,1407194258910584847,1423360444387921921
1392913965760450562,1407194258910584847,1423316801354665993
1392913965760450562,1407194258910584847,1423150407422038018
1392913965760450562,1407194258910584847,1416396377748381700
1392913965760450562,1407194258910584847,1416245403343753217
1392913965760450562,1407194258910584847,1409193930416168967
1392913965760450562,1407194258910584847,1409184673784344579
1392913965760450562,1407194258910584847,1408786992847114253
1392913965760450562,1407194258910584847,1407559941406212096
1392913965760450562,1407194258910584847,1407329681486065665
1396124430569545728,1396137040551432192,1396180189114159105
1399568876099325954,1421452757278597125,1421477174113181701
1399568876099325954,1421452757278597125,1421462766632718338
1399662872905531392,1399720467817107456,1399722397092093952
1408359733992595457,1408388466585518084,1408435286833602568
1408359733992595457,1408388466585518084,1408411411194302464
1408359733992595457,1408388466585518084,1408403063145222145
1408359733992595457,1408388466585518084,1408402226792513536
1409803276904660993,1409817759215620098,1410037758731620352
1409803276904660993,1409817759215620098,1409972978071310339
1409803276904660993,1409817759215620098,1409864463306612743
1409803276904660993,1409817759215620098,1409831304531562504
1409803276904660993,1409817759215620098,1409828673927012352
1409803276904660993,1409817759215620098,1409828624518180867
1409803276904660993,1409817759215620098,1409826734828965889
1409803276904660993,1409817759215620098,1409826731888762881
1409803276904660993,1409817759215620098,1409820746017230849
1409803276904660993,1409817759215620098,1409819640277082113
1409803276904660993,1409817759215620098,1409819541945782279
1409803276904660993,1409817759215620098,1409819279503990786
1409803276904660993,1409817759215620098,1409818007191265283
1410963099926990849,1410966225178353665,1410972544249712647
1410963099926990849,1410965939609210882,1411045714944086019
1410963099926990849,1410965939609210882,1410967975520133120
1410963099926990849,1410964655858544640,1410970726333517833
1410963099926990849,1410964655858544640,1410967056061587468
1412068692876275718,1412069858464894980,1434103477391740928
1412559319577501697,1412581535836872706,1412722770027286533
1412559319577501697,1412581535836872706,1412700433533997060
1412559319577501697,1412566724453470208,1412724773918961672
1412559319577501697,1412562997197762565,1412700648265568256
1412559319577501697,1412562997197762565,1412627272142520323
1336008246268547074,1336009462029705216,1336048128726884354
1336008246268547074,1336009462029705216,1336022675873882115
1336682591592833025,1336729388390502401,1336828245883412487
1337214430858375169,1337254480514068480,1342189203313070081
1337214430858375169,1337254480514068480,1337726261230186496
1337214430858375169,1337254480514068480,1337557069013061632
1337333051500670977,1337340601298264066,1337625003462959109
1337333051500670977,1337340601298264066,1337351748407713793
1337333051500670977,1337340601298264066,1337345427633446912
1337485770035064833,1337532217816305665,1337536440805167109
1337485770035064833,1337487578145017856,1337849909773389827
1338450280388628481,1338455312924336128,1439348189874819073
1345323906161377283,1345424644304678915,1347065373573734400
1345323906161377283,1345424644304678915,1345675633502924800
1348371442010910720,1348375872122847234,1348387705768583169
1349853889412145155,1351044360155095044,1351129134408339466
1352291854503567363,1352471839843307520,1352755811118850048
1352291854503567363,1352471839843307520,1352487941759766529
1352291854503567363,1352471839843307520,1352484662250262529
1352291854503567363,1352471839843307520,1352472379138564096
1352291854503567363,1352428974618660866,1353268118144118785
1352291854503567363,1352428974618660866,1352821522646368258
1352291854503567363,1352372654901133313,1352471135921655810
1352291854503567363,1352372654901133313,1352447631067205632
1352291854503567363,1352372654901133313,1352398250926436352
1352291854503567363,1352332223542771712,1353507291341811713
